title,detail,links
PMS - Manufacturing Management Support,"A complete PMS - Manufacturing Management Support package to
									 maintain the whole manufactuing automation. Real user freindly and easy to use. 
									 ",#
PMS - Distribution Management Support,"A complete PMS - Distribution Management Support package to maintain the whole distribution. 
									 User freindly and 500+ reporting facility ... 
									 ",#
PMS - Wholesale Management Support,"A complete PMS - Wholesale Management Support package 
									 facilitate full automation for the Wholesale managment. Its multi-functional facility enhanced the automation ... 
									 ",#
PMS - Retail Management Support,"A complete PMS - Retail Management Support package facilitate full automation for the retail managment with the real time speed. Its multi-functional facility ... 
									 ",#
Lifeline & Hospital Management Support,"LHMS provides all the facility for Hospital automation to accelarate the work with Outdoor/Indoor Patient entry, Pathology activities, Patient History facility etc... 
									 ",#
Transport Management Support,"Transport Management Support System automate whole transport services like Branchwise Consignment Booking, Outstanding Booking, Truck & Lorry Manintainance... 
									 ",#
School Management Support,"SMS , a strong and smart package for the school management requirement, keeps and provides tons of entries, reports and accounts environment for smooth and crystal... 
									 ",#
Daily Call Report,"Daily Call Report supports help a management to 
									 keep a sharp eye on their employee's daily activities. Automate the MSR's tour programe, daily call, tour programe ... 
									 ",#
Hotel & Restaurant Management Support,"Hotel and Multi Restaurant activities are now easy to handle using this complete package. It allow user to manage Check IN/OUT, Banquet, Restaurant Booking... 
									 ",#
Jewellery Management Support,"
									 ",#
PMS UPDATE PACK,"PMS LATEST UPDATE 9.6 UPDATE PATCH 
									 ",#
PMS SMS PACK ,"BULK SMS UPDATE PACK FOR MESSAGE THROUGH S/W FOR INVOICE, MONEY RECEIPT, ORDER GENERATION AND OUTSTANDING etc...
									 ",#
,,
